name,decade,year,month,windspeed_mph,pressure_mbar
Hurricane #3,1851,1853,August,150,924
"""1856 Last Island Hurricane""",1851,1856,August,150,934
Hurricane #6,1861,1866,September,140,938
Hurricane #7,1871,1878,September,140,938
Hurricane #2,1871,1880,August,150,931
Hurricane #8,1871,1880,September,140,928
Hurricane #6,1881,1882,October,140,975
Indianola Hurricane of 1886,1881,1886,August,155,925
Hurricane #10,1891,1893,September,130,948
Hurricane #6,1891,1894,October,130,931
Hurricane #7,1891,1898,September,130,930
Hurricane #3,1891,1899,August,150,930
Galveston Hurricane of 1900,1891,1900,August,145,936
Hurricane #4,1901,1906,August,130,950
1910 Cuba hurricane,1901,1910,October,150,924
1915 Galveston hurricane,1911,1915,August,145,940
1915 New Orleans hurricane,1911,1915,September,145,931
1916 Texas hurricane,1911,1916,August,130,932
1917 Nueva Gerona hurricane,1911,1917,September,150,928
1919 Florida Keys hurricane,1911,1919,September,150,927
1921 Tampa Bay hurricane,1921,1921,October,140,941
1926 Nassau hurricane,1921,1926,July,140,967
Hurricane #4,1921,1926,September,140,957
1926 Miami hurricane,1921,1926,September,150,930
1926 Havana–Bermuda hurricane,1921,1926,October,150,934
1929 Bahamas hurricane,1921,1929,September,155,924
1930 Dominican Republic hurricane,1921,1930,August,155,933
1931 Belize hurricane,1931,1931,September,130,952
1932 Freeport hurricane,1931,1932,August,150,935
1932 San Ciprian hurricane,1931,1932,September,145,943
1933 Chesapeake–Potomac hurricane,1931,1933,August,140,940
1933 Treasure Coast hurricane,1931,1933,August,140,945
1933 Outer Banks hurricane,1931,1933,September,140,947
Hurricane #2,1931,1935,August,130,955
1935 Cuba hurricane,1931,1935,September,140,945
Hurricane #5,1931,1939,October,140,941
Hurricane #4,1941,1941,September,130,957
1944 Great Atlantic hurricane,1941,1944,September,145,933
1944 Cuba–Florida hurricane,1941,1944,October,145,937
1945 Homestead hurricane,1941,1945,September,130,949
1947 Fort Lauderdale hurricane,1941,1947,September,145,938
1948 Bermuda–Newfoundland hurricane,1941,1948,September,130,940
September 1948 Florida hurricane,1941,1948,September,130,940
1949 Florida hurricane,1941,1949,August,150,954
Hurricane Dog,1941,1950,September,145,943
Hurricane Fox,1941,1950,September,140,946
Hurricane King,1941,1950,October,130,955
Hurricane Charlie,1951,1951,August,130,958
Hurricane Easy,1951,1951,September,150,937
Hurricane Fox,1951,1952,October,145,934
Hurricane Hazel,1951,1954,October,130,937
Hurricane Connie,1951,1955,August,140,944
Hurricane Ione,1951,1955,September,140,938
Hurricane Carrie,1951,1957,September,140,945
Hurricane Cleo,1951,1958,August,140,947
Hurricane Daisy,1951,1958,August,130,948
Hurricane Helene,1951,1958,September,130,934
Hurricane Gracie,1951,1959,September,140,950
Hurricane Donna,1951,1960,September,145,930
Hurricane Betsy,1961,1961,September,140,945
Hurricane Esther,1961,1961,September,145,927
Hurricane Flora,1961,1963,September,145,940
Hurricane Cleo,1961,1964,August,155,950
Hurricane Dora,1961,1964,August,130,942
Hurricane Gladys,1961,1964,September,145,945
Hurricane Hilda,1961,1964,September,150,941
Hurricane Betsy,1961,1965,August,155,941
Hurricane Inez,1961,1966,September,150,929
Hurricane Carmen,1971,1974,August,150,928
Hurricane Gladys,1971,1975,September,140,939
Hurricane Ella,1971,1978,August,140,956
Hurricane Greta,1971,1978,September,130,947
Hurricane Frederic,1971,1979,August,130,943
Hurricane Harvey,1981,1981,September,130,946
Hurricane Debby,1981,1982,September,130,950
Hurricane Diana,1981,1984,September,130,949
Hurricane Gloria,1981,1985,September,145,919
Hurricane Helene,1981,1988,September,145,938
Hurricane Joan,1981,1988,October,145,932
Hurricane Gabrielle,1981,1989,August,145,935
Hurricane Claudette,1991,1991,September,130,943
Hurricane Felix,1991,1995,August,140,929
Hurricane Luis,1991,1995,August,140,935
Hurricane Opal,1991,1995,September,150,916
Hurricane Edouard,1991,1996,August,145,933
Hurricane Hortense,1991,1996,September,140,935
Hurricane Georges,1991,1998,September,155,937
Hurricane Bret,1991,1999,August,145,944
Hurricane Cindy,1991,1999,August,140,942
Hurricane Floyd,1991,1999,September,155,921
Hurricane Gert,1991,1999,September,150,930
Hurricane Lenny,1991,1999,November,155,933
Hurricane Isaac,1991,2000,September,140,943
Hurricane Keith,1991,2000,September,140,939
Hurricane Iris,2001,2001,October,145,948
Hurricane Michelle,2001,2001,November,140,933
Hurricane Lili,2001,2002,October ,145,938
Hurricane Fabian,2001,2003,August,145,939
Hurricane Charley,2001,2004,August,150,941
Hurricane Frances,2001,2004,August,145,935
Hurricane Karl,2001,2004,September,145,938
Hurricane Dennis,2001,2005,July,150,930
Hurricane Gustav,2001,2008,August,155,941
Hurricane Ike,2001,2008,September,145,935
Hurricane Omar,2001,2008,October,130,958
Hurricane Paloma,2001,2008,November,145,944
Hurricane Bill,2001,2009,August,130,943
Hurricane Danielle,2001,2010,August,130,942
Hurricane Earl,2001,2010,August,145,927
Hurricane Igor,2001,2010,September,155,924
Hurricane Julia,2001,2010,September,140,948
Hurricane Katia,2011,2011,September,140,942
Hurricane Ophelia,2011,2011,October,140,940
Hurricane Gonzalo,2011,2014,October,145,940
Hurricane Joaquin,2011,2015,October,155,931
Hurricane Nicole,2011,2016,October,140,950
Hurricane Harvey,2011,2017,August,130,937
Hurricane Jose,2011,2017,September,155,938
Hurricane Florence,2011,2018,September,140,939
